STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/10,10.29,2359,2351,0,0,2,,16,5,320,320,15,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/10,11.86,928,2206,0,0,2,,11,2,340,330,17.9,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/10,10.29,2114,1917,0,0,2,,18,-1,330,340,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/10,11.41,1644,1300,0,0,2,,18,7,310,360,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/10,8.5,1518,1500,0,0,2,,23,13,340,340,16.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/10,5.37,1114,1129,0.01,0.1,2,,20,10,320,310,12.1,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/10,5.59,1250,1952,0.27,3.9,3,,22,16,330,300,13,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/10,13.65,722,758,0.27,3.5,8,,27,11,340,340,23,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/10,8.5,647,1107,0,0,7,,22,6,320,10,15,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/10,11.18,1842,2054,0,0,6,,18,0,210,220,23.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/10,12.3,1808,1616,0,0,6,,26,15,340,320,21,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/10,8.72,6,5,0,0,5,,31,20,330,330,17.9,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/10,14.09,1147,1833,0,0,5,,35,19,220,220,19.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/10,10.74,1158,1303,0,0,5,,40,31,240,230,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/10,6.04,2044,2043,0,0,2,,34,25,210,200,14.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/10,7.16,628,627,0,0,2,,27,23,200,210,15,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/10,5.37,2239,2238,0,0,2,,29,19,290,300,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/10,6.71,2249,422,0,0,2,,31,27,310,280,12.1,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/19/10,4.03,315,2225,0,0,2,,38,27,320,50,8.9,16.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/20/10,14.99,1855,1715,0.01,0,2,,33,24,100,70,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/21/10,15.21,152,1139,0.08,0,2,,35,30,90,60,25.1,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/22/10,9.84,33,901,0,0,2,,35,33,40,60,16.1,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/23/10,12.08,1911,1903,0,0,1,,44,34,140,160,17,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/24/10,14.09,857,856,0.49,0,0,,46,30,190,190,25.1,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/25/10,13.42,1934,1933,0,0.5,0,,32,19,260,260,25.9,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/26/10,14.32,218,2028,0,0.2,0,,24,12,270,250,21.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/27/10,12.75,2354,2227,0,0.9,1,,23,9,280,280,21.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/28/10,11.63,133,132,0,0,1,,17,6,300,300,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/29/10,4.7,1706,2004,0,0,1,,21,5,50,40,10.1,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/10,5.82,1031,1234,0,0,1,,25,18,110,60,13,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/10,7.38,1221,1237,0,0,1,,29,15,250,280,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/10,4.03,2249,1738,0,0,0,,30,14,130,60,8.9,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/10,7.16,2330,1920,0.1,2.1,1,,32,25,270,280,14.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/10,5.59,12,1733,0,0,1,,32,23,270,50,14.1,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/10,6.26,2253,2318,0,0,1,,33,21,100,110,14.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/10,14.99,2305,2231,0.02,0.2,1,,35,30,40,50,25.9,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/10,15.21,1,0,0,0,0,,31,25,30,30,28,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/10,5.82,1458,1239,0,0,0,,31,23,110,50,13,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/10,8.72,2223,2008,0,0,0,,30,20,100,90,17.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/9/10,10.74,1948,1947,0.65,12.6,1,,28,23,10,10,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/10/10,14.54,834,441,0.02,0.3,9,,26,17,330,330,25.1,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/11/10,5.82,1620,1622,0,0,7,,30,10,350,10,12.1,16.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/12/10,4.7,1528,1642,0,0,6,,32,10,360,40,8.9,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/13/10,7.16,1335,1335,0,0,5,,30,11,310,310,15,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/14/10,5.59,1412,1341,0,0,5,,29,9,290,270,12.1,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/15/10,8.5,1228,2156,0,0.3,4,,28,6,310,300,16.1,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/16/10,11.86,815,813,0,0,5,,32,25,320,320,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/17/10,10.29,1513,1513,0,0,4,,32,26,310,310,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/18/10,7.16,1513,1417,0,0,3,,39,25,280,300,15,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/19/10,4.7,1724,1724,0,0,2,,42,19,80,60,8.9,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/20/10,5.14,947,1713,0.01,0.2,2,,39,30,160,50,8.9,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/21/10,7.61,1532,2258,0.36,2,2,,36,33,40,30,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/22/10,10.51,1209,150,0.14,1.1,4,,33,29,20,50,16.1,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/23/10,6.49,2047,2112,0,0,3,,33,22,260,250,14.1,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/24/10,12.08,1638,1642,0.34,3.6,3,,29,21,330,360,21.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/25/10,11.86,1519,718,0,0,5,,28,18,310,360,17.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/26/10,13.2,1552,1551,0,0,5,,31,17,320,320,21.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/27/10,11.41,1556,1555,0,0.1,4,,34,28,330,320,17.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/28/10,7.16,831,1244,0,0,4,,38,32,350,50,12.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/1/10,7.61,1719,1512,0,0,3,,36,27,50,30,14.1,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/2/10,8.5,1501,1107,0,0,3,,33,23,20,30,15,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/3/10,8.5,243,1150,0,0,3,,39,24,340,40,14.1,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/4/10,6.71,1612,1550,0,0,2,,42,22,50,40,15,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/5/10,6.71,956,1231,0,0,1,,38,23,50,60,16.1,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/6/10,3.36,1300,1300,0,0,0,,45,20,210,210,12.1,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/7/10,3.8,1253,1116,0.03,0,0,,46,26,200,200,12.1,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/8/10,2.24,2323,2323,0,0,0,,44,33,60,60,8.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/9/10,6.49,2333,1230,0.01,0,0,,51,32,120,60,13,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/10/10,8.05,1503,1503,0.07,0,0,,62,46,210,190,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/11/10,9.4,1455,1505,0.34,0,0,,60,44,130,140,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/12/10,8.5,2247,2306,0.01,0,0,,55,40,30,40,21.9,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/13/10,16.11,149,148,0.61,0,0,,45,41,40,40,25.1,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/14/10,16.55,1340,1129,0,0,0,,50,40,40,30,25.9,34.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/15/10,7.61,1520,1447,0,0,0,,48,39,30,40,17,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/16/10,4.47,1527,1804,0,0,0,,61,35,60,50,10.1,17.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/17/10,3.8,1500,1449,0,0,0,,63,32,80,50,10.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/18/10,9.62,1520,1501,0,0,0,,61,41,250,240,21.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/19/10,11.41,1922,1934,0,0,0,,65,39,30,30,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/20/10,15.66,1257,157,0.42,1.8,0,,39,31,40,30,23.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/21/10,13.65,1402,1209,0.02,0,0,,42,33,30,50,21.9,34.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/22/10,12.75,1703,1421,0,0,0,,49,34,20,30,21,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/23/10,4.47,1501,1618,0,0,0,,59,28,100,80,13,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/24/10,4.92,1340,1713,0,0,0,,53,35,110,40,12.1,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/25/10,17.9,1238,1252,0.03,0,0,,47,29,20,10,36,42.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/26/10,9.62,11,1300,0,0,0,,41,27,20,60,21.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/27/10,9.4,1744,1419,0.01,0,0,,50,31,70,80,15,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/28/10,14.09,1256,1341,0,0,0,,52,37,20,20,25.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/29/10,6.93,738,940,0,0,0,,46,30,10,50,13,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/30/10,10.96,2338,1529,0,0,0,,64,29,190,180,19.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/31/10,14.76,1524,1527,0,0,0,,77,51,190,210,28,34.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/1/10,15.21,1542,1351,0,0,0,,83,54,190,190,30,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/2/10,17.67,1326,1451,0,0,0,,81,59,190,190,36,48.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/3/10,11.86,1452,1509,0.18,0,0,,59,49,270,270,23.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/4/10,13.65,1443,1448,0.8,0,0,,76,39,200,200,34.9,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/5/10,8.5,2145,2144,0.82,0,0,,72,50,310,320,47,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/6/10,8.72,1535,1602,0.37,0,0,,76,47,220,230,25.1,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/7/10,11.41,1744,1743,0.13,0,0,,49,37,20,20,23.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/8/10,11.63,723,1451,0,0,0,,40,34,310,350,21.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/9/10,7.61,1220,1219,0,0,0,,56,30,280,290,16.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/10/10,11.41,1239,1221,0,0,0,,74,38,220,210,25.9,34.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/11/10,8.05,1416,1245,0,0,0,,63,44,70,60,15,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/12/10,11.41,2313,1955,0.01,0,0,,70,44,100,50,19.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/13/10,12.08,2212,1250,0,0,0,,63,48,120,70,17.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/14/10,8.5,1750,1439,0,0,0,,80,46,110,160,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/15/10,12.75,1531,1015,0,0,0,,82,61,240,250,23.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/16/10,12.97,1617,1409,0,0,0,,68,39,330,320,25.1,34.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/17/10,11.41,1343,1403,0,0,0,,59,37,320,330,25.1,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/18/10,8.5,1646,1216,0,0,0,,52,36,40,50,16.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/19/10,6.26,1629,1547,0,0,0,,56,35,50,40,14.1,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/20/10,3.8,1354,1428,0,0,0,,64,38,70,60,14.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/21/10,10.51,2047,1338,0,0,0,,62,41,40,50,21,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/22/10,7.16,1736,2156,0,0,0,,60,38,70,50,13,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/23/10,7.83,2358,2358,0.07,0,0,,63,41,110,110,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/24/10,12.08,2053,2053,0.26,0,0,,60,51,100,90,25.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/25/10,13.42,1552,1545,0.31,0,0,,60,47,30,40,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/26/10,14.76,2258,1157,0,0,0,,63,47,20,40,21.9,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/27/10,12.08,734,1005,0,0,0,,51,37,40,40,23,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/28/10,4.7,1744,1829,0,0,0,,64,33,100,80,16.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/29/10,18.34,1532,1538,0,0,0,,79,46,180,190,36.9,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/30/10,18.12,1720,1722,0.06,0,0,,81,62,190,190,31.1,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/1/10,9.4,1520,1520,0.11,0,0,,70,58,240,230,19.9,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/2/10,6.04,2221,2220,0.93,0,0,,69,53,280,280,16.1,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/3/10,9.4,1419,1606,0,0,0,,72,50,230,290,21,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/4/10,14.32,1750,1725,0,0,0,,79,50,220,230,28,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/5/10,12.75,1550,1610,0,0,0,,72,56,290,250,25.1,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/6/10,9.17,1627,2025,0.01,0,0,,63,46,50,60,17,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/7/10,13.2,811,811,0.72,0,0,,59,45,120,130,32,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/8/10,15.21,235,235,0.02,0,0,,50,42,280,270,30,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/9/10,6.49,1712,1712,0,0,0,,58,38,100,70,14.1,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/10/10,14.32,2343,2344,0,0,0,,58,41,120,130,30,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/11/10,9.84,8,25,0.97,0,0,,52,44,120,110,29.1,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/12/10,10.51,2044,2326,0.12,0,0,,51,44,100,60,21,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/13/10,12.3,1606,1605,1.49,0,0,,73,48,260,270,25.9,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/14/10,11.18,1503,1002,0,0,0,,66,47,280,260,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/15/10,5.82,1806,,0,0,0,,61,43,40,,13,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/16/10,10.07,1753,1532,0,0,0,,66,41,50,60,17.9,34.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/17/10,9.84,1745,1443,0.01,0,0,,58,50,20,50,17,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/18/10,9.84,1054,1053,0,0,0,,65,46,40,40,30,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/19/10,6.49,1022,1104,0,0,0,,74,44,40,50,16.1,30
